scenario_id,name,executable_now,blocked_by,formal_output,ran_this_increment,binding_gate
DH-00,文件/SHA/单位/参考点/惯量缩放不变性,YES,,Digital Host 基础合同(S00 报告),YES,DH-G0
DH-01,accepted URDF FK 与 frame 对账,YES,,S01 拓扑/FK 报告,YES,DH-G2
DH-02,C01 固定 q0 current STEP 几何诊断,NO,CURRENT_STEP_0_OF_9+CAD_RUN_FROZEN,仅几何诊断(非关节真值),NO,DH-G1
PB-00/S02,无控制自由漂浮守恒(臂单体+组合体),YES,,线/角动量与能量账本+dt收敛,YES,DH-G6(诊断层)
PB-01/S03,无接触关节运动与基座反作用(PD候选),YES,,时域控制前基线(DIAGNOSTIC_ONLY),YES,DH-G6(HOLD不变)
M01-A,PRE_RELEASE 支撑锁定场景,NO,stage_instance_0_of_3+HDRM_authority+collision_assets,场景证书,NO,DH-G4
M01-B,RELEASE_EVENT,NO,HDRM 场景字段缺失,事件转换证书,NO,DH-G4
M01-C,POST_RELEASE 连续路径,NO,collision_assets_1_of_150+pair_policy_UNKNOWN,连续运动证书,NO,DH-G4
CAP-L/S05,22kg@0.5dps 名义捕获(prebind 无接触),PARTIAL_NO_CONTACT_ONLY,T_E_T_MISSING+contact_authority,EXECUTE/MODIFY 候选(预绑定),NO_DEFERRED,DH-G5
CAP-H/S06,150kg@3dps 高风险,PARTIAL_HISTORY_REPLAY_ONLY,同上+sim_10 INFEASIBLE_RATE,physics-veto/ABORT 维持,VETO_REGISTERED,DH-G5
SAFE-U1/S07,缺 T_E_T 注入,YES,,NOT_EVALUATED→ABORT 证明,YES,DH-G7(诊断层)
SAFE-U2/S07,frame/SHA/单位不一致注入,YES,,UNKNOWN→ABORT 证明,YES,DH-G7(诊断层)
CONTACT-S/S08,synthetic 柔顺接触,NO,T_E_T_MISSING,provisional 标注接触输出,NO,DH-G5
LOCK-01/S09,捕获锁止组合体,NO,contact+attachment_authority,组合体惯量与角速度,NO,DH-G5
REC-01,捕获后恢复/消旋,NO,控制闭环+S09,资源与稳定性,NO,DH-G6
