reference,pin,function,net,source
J200,1,PROTECTED_PLUS,WP10_BAT_PROTECTED_PLUS,rrc3570_4.pdf D; mc35.pdf body RevB; OEM cavity and Sys Detect UNBOUND
J200,2,PROTECTED_RETURN,WP10_INPUT_RETURN,rrc3570_4.pdf D; mc35.pdf body RevB; OEM cavity and Sys Detect UNBOUND
F201,1,A,WP10_BAT_PROTECTED_PLUS,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-1025hc-surface-mount-ceramic-tube-fuses-data-sheet.pdf June2025 p2
F201,2,B,WP10_MAIN_FUSED,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-1025hc-surface-mount-ceramic-tube-fuses-data-sheet.pdf June2025 p2
F202,1,A,WP10_BAT_PROTECTED_PLUS,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-mda-time-delay-ceramic-tube-fuses-data-sheet.pdf November2025 pp1-6
F202,2,B,WP10_AUX_FUSED,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-mda-time-delay-ceramic-tube-fuses-data-sheet.pdf November2025 pp1-6
U201,1,SENSE,WP10_MAIN_SENSE,"lm5069_rev_g.pdf pp3,5,6,20-24"
U201,2,VIN,WP10_MAIN_FUSED,"lm5069_rev_g.pdf pp3,5,6,20-24"
U201,3,UVLO,WP10_HS_UVLO,"lm5069_rev_g.pdf pp3,5,6,20-24"
U201,4,OVLO,WP10_HS_OVLO,"lm5069_rev_g.pdf pp3,5,6,20-24"
U201,5,GND,WP10_INPUT_RETURN,"lm5069_rev_g.pdf pp3,5,6,20-24"
U201,6,TIMER,WP10_HS_TIMER,"lm5069_rev_g.pdf pp3,5,6,20-24"
U201,7,PWR,WP10_HS_POWER_LIMIT,"lm5069_rev_g.pdf pp3,5,6,20-24"
U201,8,PGD,WP10_HS_PGD,"lm5069_rev_g.pdf pp3,5,6,20-24"
U201,9,OUT,WP10_PRECHARGED_PLUS,"lm5069_rev_g.pdf pp3,5,6,20-24"
U201,10,GATE,WP10_MAIN_GATE,"lm5069_rev_g.pdf pp3,5,6,20-24"
Q201,1,G,WP10_MAIN_GATE,https://www.littelfuse.com/assetdocs/Littelfuse-Discrete-MOSFETs-N-Channel-Linear-IXT-75N10-Datasheet.PDF?assetguid=EA051E16-AAA9-4983-A975-8D0C07325D72 pp1-2; ADVANCE TECHNICAL INFORMATION
Q201,2,D,WP10_MAIN_SENSE,https://www.littelfuse.com/assetdocs/Littelfuse-Discrete-MOSFETs-N-Channel-Linear-IXT-75N10-Datasheet.PDF?assetguid=EA051E16-AAA9-4983-A975-8D0C07325D72 pp1-2; ADVANCE TECHNICAL INFORMATION
Q201,3,S,WP10_PRECHARGED_PLUS,https://www.littelfuse.com/assetdocs/Littelfuse-Discrete-MOSFETs-N-Channel-Linear-IXT-75N10-Datasheet.PDF?assetguid=EA051E16-AAA9-4983-A975-8D0C07325D72 pp1-2; ADVANCE TECHNICAL INFORMATION
R201,1,A,WP10_MAIN_FUSED,wslp2726.pdf 29-Jun-2026 pp1-2
R201,2,B,WP10_SENSE_MID,wslp2726.pdf 29-Jun-2026 pp1-2
R202,1,A,WP10_SENSE_MID,wslp2726.pdf 29-Jun-2026 pp1-2
R202,2,B,WP10_MAIN_SENSE,wslp2726.pdf 29-Jun-2026 pp1-2
R203,1,A,WP10_MAIN_FUSED,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R203,2,B,WP10_HS_UVLO,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R204,1,A,WP10_HS_UVLO,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R204,2,B,WP10_INPUT_RETURN,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R205,1,A,WP10_MAIN_FUSED,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
