cell_id,case,alpha,mode,provenance,legacy_strategy_label,legacy_feasibility,legacy_binding_gate,m_t_kg,m_composite_kg,impulse_J_Ns,H_captured_Nms,omega_plus_dps,dH_external_Nms,dv_match_mps,h_rw0_Nms,wheel_momentum_demand_Nms,thruster_impulse_Ns,delta_v_mps,fuel_precontact_g,fuel_allocation_g,fuel_total_g,stabilization_time_s,stabilization_time_absent_reason,m_omega,m_Hw,m_tauw,m_dv,m_fuel,m_time,m_clearance,m_flex,M_phys_restricted,binding_gate,absent_components,n_evaluable_components,classification,classification_reason
A_low|a0|WHEEL_DIRECT,A_low,0,WHEEL_DIRECT,SIM12_PHASE1_ROW,S1_passive,FEASIBLE,NONE,22.0,46.0,0.12021626868793249,0.0024962462560704844,0.23120208979778084,0.0,0.0,0.0,0.0024962462560704844,0.0,0.0,0.0,0.0,0.0,,NO_WHEEL_TORQUE_LIMIT_IN_REPOSITORY,0.884398955101,0.991679179146,ABSENT,1.0,1.0,ABSENT,ABSENT,ABSENT,0.884398955101,m_omega,m_clearance;m_flex;m_tauw;m_time,4,UNKNOWN,"ABSENT_GATE_COMPONENTS:m_clearance,m_flex,m_tauw,m_time"
A_low|a0|WHEEL_BIAS,A_low,0,WHEEL_BIAS,SIM12_PHASE1_ROW,S3a_wheel_bias,FEASIBLE,NONE,22.0,46.0,0.12021626868793249,0.0024962462560704844,0.23120208979778084,0.0,0.0,-0.3,0.2975037537439295,0.0,0.0,0.0,2.999165332288024,2.999165332288024,,NO_WHEEL_TORQUE_LIMIT_IN_REPOSITORY,0.884398955101,0.008320820854,ABSENT,1.0,0.945205479452,ABSENT,ABSENT,ABSENT,0.008320820854,m_Hw,m_clearance;m_flex;m_tauw;m_time,4,UNKNOWN,"ABSENT_GATE_COMPONENTS:m_clearance,m_flex,m_tauw,m_time"
A_low|a0|THRUSTER,A_low,0,THRUSTER,SIM12_PHASE1_ROW,S4_post_capture_detumble,FEASIBLE,NONE_THRUSTER_PATH,22.0,46.0,0.12021626868793249,0.0024962462560704844,0.23120208979778084,0.0,0.0,0.0,0.0,0.014683801506296966,0.0003192130762238471,0.0,0.024955517440201233,0.024955517440201233,0.14683801506296967,,0.884398955101,1.0,ABSENT,0.999544064611,0.999544064611,0.999959211662,ABSENT,ABSENT,0.884398955101,m_omega,m_clearance;m_flex;m_tauw,5,UNKNOWN,"ABSENT_GATE_COMPONENTS:m_clearance,m_flex,m_tauw"
A_low|a1|WHEEL_DIRECT,A_low,1,WHEEL_DIRECT,SIM12_PHASE1_ROW,S2_velocity_matching,FEASIBLE,NONE,22.0,46.0,0.12020973311037349,0.011779590201088723,0.23732923180976725,0.009968255904337787,0.0008645829869824866,0.0,0.011779590201088723,0.0,0.0,0.0389,0.0,0.0389,,NO_WHEEL_TORQUE_LIMIT_IN_REPOSITORY,0.881335384095,0.96073469933,ABSENT,1.0,0.999289299984,ABSENT,ABSENT,ABSENT,0.881335384095,m_omega,m_clearance;m_flex;m_tauw;m_time,4,UNKNOWN,"ABSENT_GATE_COMPONENTS:m_clearance,m_flex,m_tauw,m_time"
A_low|a1|WHEEL_BIAS,A_low,1,WHEEL_BIAS,ALGEBRAIC_RECONSTRUCTION,,NOT_IN_SIM12_PHASE1,N/A,22.0,46.0,0.12020973311037349,0.011779590201088723,0.23732923180976725,0.009968255904337787,0.0008645829869824866,-0.3,0.2882204097989113,0.0,0.0,0.0389,2.999165332288024,3.038065332288024,,NO_WHEEL_TORQUE_LIMIT_IN_REPOSITORY,0.881335384095,0.03926530067,ABSENT,1.0,0.944494779436,ABSENT,ABSENT,ABSENT,0.03926530067,m_Hw,m_clearance;m_flex;m_tauw;m_time,4,UNKNOWN,"ABSENT_GATE_COMPONENTS:m_clearance,m_flex,m_tauw,m_time"
A_low|a1|THRUSTER,A_low,1,THRUSTER,ALGEBRAIC_RECONSTRUCTION,,NOT_IN_SIM12_PHASE1,N/A,22.0,46.0,0.12020973311037349,0.011779590201088723,0.23732923180976725,0.009968255904337787,0.0008645829869824866,0.0,0.0,0.06929170706522778,0.0015063414579397343,0.0389,0.1177631285322167,0.1566631285322167,0.6929170706522778,,0.881335384095,1.0,ABSENT,0.997848476676,0.99713777666,0.999807523036,ABSENT,ABSENT,0.881335384095,m_omega,m_clearance;m_flex;m_tauw,5,UNKNOWN,"ABSENT_GATE_COMPONENTS:m_clearance,m_flex,m_tauw"
B_anchor|a0|WHEEL_DIRECT,B_anchor,0,WHEEL_DIRECT,SIM12_PHASE1_ROW,S1_passive,INFEASIBLE,POST_CAPTURE_RATE,150.0,174.0,0.3384597133729326,3.650992635553959,3.0633304945807067,0.0,0.0,0.0,3.650992635553959,0.0,0.0,0.0,0.0,0.0,,NO_WHEEL_TORQUE_LIMIT_IN_REPOSITORY,-0.53166524729,-11.169975451847,ABSENT,1.0,1.0,ABSENT,ABSENT,ABSENT,-11.169975451847,m_Hw,m_clearance;m_flex;m_tauw;m_time,4,UNSAFE,HARD_MARGIN_VIOLATION_ON_m_Hw
B_anchor|a0|WHEEL_BIAS,B_anchor,0,WHEEL_BIAS,SIM12_PHASE1_ROW,S3a_wheel_bias,INFEASIBLE,POST_CAPTURE_RATE,150.0,174.0,0.3384597133729326,3.650992635553959,3.0633304945807067,0.0,0.0,-0.3,3.350992635553959,0.0,0.0,0.0,2.999165332288024,2.999165332288024,,NO_WHEEL_TORQUE_LIMIT_IN_REPOSITORY,-0.53166524729,-10.169975451847,ABSENT,1.0,0.945205479452,ABSENT,ABSENT,ABSENT,-10.169975451847,m_Hw,m_clearance;m_flex;m_tauw;m_time,4,UNSAFE,HARD_MARGIN_VIOLATION_ON_m_Hw
B_anchor|a0|THRUSTER,B_anchor,0,THRUSTER,SIM12_PHASE1_ROW,S4_post_capture_detumble,INFEASIBLE,POST_CAPTURE_RATE,150.0,174.0,0.3384597133729326,3.650992635553959,3.0633304945807067,0.0,0.0,0.0,0.0,21.47642726796446,0.12342774291933598,0.0,36.49976846997439,36.49976846997439,214.76427267964462,,-0.53166524729,1.0,ABSENT,0.333152030036,0.333152030036,0.940343257589,ABSENT,ABSENT,-0.53166524729,m_omega,m_clearance;m_flex;m_tauw,5,UNSAFE,HARD_MARGIN_VIOLATION_ON_m_omega
B_anchor|a1|WHEEL_DIRECT,B_anchor,1,WHEEL_DIRECT,SIM12_PHASE1_ROW,S2_velocity_matching,INFEASIBLE,POST_CAPTURE_RATE,150.0,174.0,0.1938779667977405,4.5243616005669836,2.947001206340386,1.435081014983432,0.037475051582154105,0.0,4.5243616005669836,0.0,0.0,1.6878,0.0,1.6878,,NO_WHEEL_TORQUE_LIMIT_IN_REPOSITORY,-0.47350060317,-14.081205335223,ABSENT,1.0,0.969164023475,ABSENT,ABSENT,ABSENT,-14.081205335223,m_Hw,m_clearance;m_flex;m_tauw;m_time,4,UNSAFE,HARD_MARGIN_VIOLATION_ON_m_Hw
