ref,value,footprint,sheet,source_revision,MPN,manufacturer,datasheet
R202,WSLP2726L5000FEA,WP10_INPUT:WSLP2726_KelvinSplit_TwoTerminals,/Power detail 1/,V34,WSLP2726L5000FEA,Vishay,https://www.vishay.com/docs/30179/wslp2726.pdf
C214,100nF 100V C0G,Capacitor_SMD:C_1210_3225Metric,/V34 Independent AUX eFuse/,V34,C1210C104J1GACTU,KEMET,https://search.kemet.com/component-documentation/download/specsheet/C1210C104J1GACTU
C215,100nF 100V C0G,Capacitor_SMD:C_1210_3225Metric,/V34 Independent AUX eFuse/,V34,C1210C104J1GACTU,KEMET,https://search.kemet.com/component-documentation/download/specsheet/C1210C104J1GACTU
C216,100nF 100V C0G,Capacitor_SMD:C_1210_3225Metric,/V34 Independent AUX eFuse/,V34,C1210C104J1GACTU,KEMET,https://search.kemet.com/component-documentation/download/specsheet/C1210C104J1GACTU
D207,SMBJ30CA-13-F,WP10_INPUT:SMBJ30A_A1K2,/V34 Independent AUX eFuse/,V34,SMBJ30CA-13-F,Diodes Incorporated,https://www.diodes.com/datasheet/download/SMBJ5.0%28C%29A-SMBJ170%28C%29A.pdf
D208,STPS3H100U,WP10_AUX:STPS3H100U_K1A2,/V34 Independent AUX eFuse/,V34,STPS3H100U,STMicroelectronics,https://www.st.com/resource/en/datasheet/stps3h100.pdf
J208,43045-0200 IN,Connector_Molex:Molex_Micro-Fit_3.0_43045-0200_2x01_P3.00mm_Horizontal,/V34 Independent AUX eFuse/,V34,430450200,Molex,https://www.molex.com/content/dam/molex/molex-dot-com/products/automated/en-us/salesdrawingpdf/430/43045/430450400_sd.pdf
J209,43045-0200 TO_THN,Connector_Molex:Molex_Micro-Fit_3.0_43045-0200_2x01_P3.00mm_Horizontal,/V34 Independent AUX eFuse/,V34,430450200,Molex,
J210,LOCAL_RESET_TEST_PADS,WP10_AUX:ResetTestPads,/V34 Independent AUX eFuse/,V34,,,
R223,5.36k,Resistor_SMD:R_0603_1608Metric,/V34 Independent AUX eFuse/,V34,TNPW06035K36BEEA,Vishay,https://www.vishay.com/docs/28758/tnpw_e3.pdf
R224,402k,Resistor_SMD:R_0603_1608Metric,/V34 Independent AUX eFuse/,V34,TNPW0603402KBEEA,Vishay,https://www.vishay.com/docs/28758/tnpw_e3.pdf
U207,TPS26600PWPR,WP10_AUX:TPS26600_PWP16_EP17,/V34 Independent AUX eFuse/,V34,TPS26600PWPR,Texas Instruments,https://www.ti.com/lit/ds/symlink/tps2660.pdf
