path,sha256,bytes,role
20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_SYSTEM_BINDING_CONTRACT_V1/SYSTEM_PAIR_ORACLE_CONTRACT_V1.json,D8B9CEE66BBD1793732F08F8E52C070B91CC5A6FCAAE56820E09E3C13BC81417,13175,pair oracle contract
20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_SYSTEM_BINDING_CONTRACT_V1/OBJECT_MOTION_BOUND_CONTRACT_V1.json,CA1A741576A90301D77FD684DFA07882FB1AB88A00E927C1381D8709C715A5CD,15414,object motion-bound contract
20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_SYSTEM_BINDING_CONTRACT_V1/build_system_binding_readiness.py,FE0051F9F71FEC0683F84B0F1F0854C39FEF425F952C473F3335F265AF56E397,41873,metadata-only deterministic builder
20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_SYSTEM_BINDING_CONTRACT_V1/test_system_binding_readiness.py,4A17A1AF74B053C9608BB70F6C6EB2FCE43619C0DB49C2812190F27B3966A6FE,17039,positive and fail-closed negative tests
20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_SYSTEM_BINDING_CONTRACT_V1/README.md,58CDD8933C08EE93F7C1F12905B339EA41B56A0DFCF8093EEF0DCFE68CD43A57,6966,scope and reproduction
20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_COLLISION_AUTHORITY_V1/system_registry/M01_SYSTEM_COLLISION_REGISTRY_V1.json,AC975D11CC4715277E34FCFF7ABF049BC57334FD8F03AAB223BBED0877B1694F,247325,150-object structural registry
20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_COLLISION_AUTHORITY_V1/system_registry/M01_PAIR_COVERAGE_V1.csv,C1F64FB26D4E563EEF6BF798EE163645FE16766CC3C510552769DB7FDF97306C,1416771,11175-pair enumeration; byte hash only
20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/route_c/B601_ROUTE_C_BUILD_RECEIPT_V9F.json,8B6C877AF2B2397102D87381F35BE8D78151DF1E97B57A1C45FE4C8972D153FC,82437,V9F motion-class receipt
20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/route_c/ROUTE_C_EXACT_SWEEP_V9F.py,9F26AC9A8DE5E2EEB57103F07B769EB43AC30A8FBAFD90FE8DF5D501FA8C8A7F,146951,frozen exact evaluator source; static text only
20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/04_configurations/F3R2_ARM_INITIAL_POSE.yaml,D6E33CB5993BA056E1368F72487B4972E4316E83655FB5AF33035FCC1761AAE2,10277,physical mount/pose YAML; historical 6dp matrix spelling
20_engineering/cad/spacecraft_layout/arm_b601_v1/arm_b601_v1.urdf,1BC2B7483CD8025D08BA6EADFD9E1F3B0477121714E7CF4DDC1794D9E471C164,11321,accepted URDF; raw hash plus in-memory CRLF-to-LF normalization only
20_engineering/F3R2_MECHANICAL_DIGITAL_PROTOTYPE_RELEASE_V1/11_validation/URDF_LINE_ENDING_HASH_EQUIVALENCE_RECEIPT.json,DF8D4624B2E33E7DDC93613DE86C663AC230C7F76A06D875ED08037FFE37E7AF,950,accepted URDF dual-EOL-digest equivalence receipt
20_engineering/F3R2_MECHANICAL_DIGITAL_PROTOTYPE_RELEASE_V1/11_validation/B601_NAMED_POSE_REVALIDATION_V1.json,68D0356F889E5888399631E6C735D404140AC5933B7FA172AB1F9E26BA26B844,12515,named-pose digital kinematics revalidation; byte hash only
20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/mpi_phys_dyn_bridge/round1_bridge/02_bridge/B601_PHYSICAL_DYNAMICS_BRIDGE_V1.yaml,0ACEB659284CAB862BA65228C5C2DF4BEB06D9EE05B5E2F0B2B5CB38402BF72C,12145,confirmed physical-to-dynamics bridge payload; byte hash only
20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/mpi_phys_dyn_bridge/round1_bridge/08_gate/MPI_BRIDGE_GATE_V1.json,60911E3C88387E2ED53601F2B541649BF90D689C57C4E74225226AE6FD10C721,23153,MPI bridge 9-criterion PASS gate; metadata only
20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/00_authority/M7_OWNER_DECISION_ODR45_TO_ODR49_MPI_CONFIRMATION_AND_TERMINAL_PATH_V1.yaml,69473BC19E020C6422B23C1758CFC343874F641781C9782E982036614C0849B5,26885,ODR-45 owner confirmation record; text status pin
20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/mpi_phys_dyn_bridge/round1_bridge/00_authority/MPI_BRIDGE_OWNER_CONFIRMATION_ADDENDUM_V1.yaml,5B681AE184870EA43BACB09668617DC02D4F705117F5F18396ECCAFB7A367103,21198,bridge owner-confirmation addendum; text status pin
20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_SYSTEM_BINDING_CONTRACT_V1/SYSTEM_BINDING_READINESS_GATE_V1.json,D93D9710EB1177417565B303138956CC70A41B0373A7148863CDEC6CF9877223,24533,generated HOLD readiness gate
