scope_carrier,legacy_token,v2_native_token,semantic,api_lookup_allowed,duplicate_feature_allowed
B51R1_CARRIER_LINK_01,CS_PARENT_JOINT_joint1,CS_JOINT_joint1_CHILD_SIDE,INCOMING_CHILD_SIDE,FALSE,FALSE
B51R1_CARRIER_BASE,CS_CHILD_JOINT_joint1,CS_JOINT_joint1_PARENT_SIDE,OUTGOING_PARENT_SIDE,FALSE,FALSE
B51R1_CARRIER_LINK_01,CS_IN_joint1,CS_JOINT_joint1_CHILD_SIDE,GENERIC_LEGACY_INCOMING,FALSE,FALSE
B51R1_CARRIER_BASE,CS_OUT_joint1,CS_JOINT_joint1_PARENT_SIDE,GENERIC_LEGACY_OUTGOING,FALSE,FALSE
B51R1_CARRIER_LINK_02,CS_PARENT_JOINT_joint2,CS_JOINT_joint2_CHILD_SIDE,INCOMING_CHILD_SIDE,FALSE,FALSE
B51R1_CARRIER_LINK_01,CS_CHILD_JOINT_joint2,CS_JOINT_joint2_PARENT_SIDE,OUTGOING_PARENT_SIDE,FALSE,FALSE
B51R1_CARRIER_LINK_02,CS_IN_joint2,CS_JOINT_joint2_CHILD_SIDE,GENERIC_LEGACY_INCOMING,FALSE,FALSE
B51R1_CARRIER_LINK_01,CS_OUT_joint2,CS_JOINT_joint2_PARENT_SIDE,GENERIC_LEGACY_OUTGOING,FALSE,FALSE
B51R1_CARRIER_LINK_03,CS_PARENT_JOINT_joint3,CS_JOINT_joint3_CHILD_SIDE,INCOMING_CHILD_SIDE,FALSE,FALSE
B51R1_CARRIER_LINK_02,CS_CHILD_JOINT_joint3,CS_JOINT_joint3_PARENT_SIDE,OUTGOING_PARENT_SIDE,FALSE,FALSE
B51R1_CARRIER_LINK_03,CS_IN_joint3,CS_JOINT_joint3_CHILD_SIDE,GENERIC_LEGACY_INCOMING,FALSE,FALSE
B51R1_CARRIER_LINK_02,CS_OUT_joint3,CS_JOINT_joint3_PARENT_SIDE,GENERIC_LEGACY_OUTGOING,FALSE,FALSE
B51R1_CARRIER_LINK_04,CS_PARENT_JOINT_joint4,CS_JOINT_joint4_CHILD_SIDE,INCOMING_CHILD_SIDE,FALSE,FALSE
B51R1_CARRIER_LINK_03,CS_CHILD_JOINT_joint4,CS_JOINT_joint4_PARENT_SIDE,OUTGOING_PARENT_SIDE,FALSE,FALSE
B51R1_CARRIER_LINK_04,CS_IN_joint4,CS_JOINT_joint4_CHILD_SIDE,GENERIC_LEGACY_INCOMING,FALSE,FALSE
B51R1_CARRIER_LINK_03,CS_OUT_joint4,CS_JOINT_joint4_PARENT_SIDE,GENERIC_LEGACY_OUTGOING,FALSE,FALSE
B51R1_CARRIER_LINK_05,CS_PARENT_JOINT_joint5,CS_JOINT_joint5_CHILD_SIDE,INCOMING_CHILD_SIDE,FALSE,FALSE
B51R1_CARRIER_LINK_04,CS_CHILD_JOINT_joint5,CS_JOINT_joint5_PARENT_SIDE,OUTGOING_PARENT_SIDE,FALSE,FALSE
B51R1_CARRIER_LINK_05,CS_IN_joint5,CS_JOINT_joint5_CHILD_SIDE,GENERIC_LEGACY_INCOMING,FALSE,FALSE
B51R1_CARRIER_LINK_04,CS_OUT_joint5,CS_JOINT_joint5_PARENT_SIDE,GENERIC_LEGACY_OUTGOING,FALSE,FALSE
B51R1_CARRIER_LINK_06,CS_PARENT_JOINT_joint6,CS_JOINT_joint6_CHILD_SIDE,INCOMING_CHILD_SIDE,FALSE,FALSE
B51R1_CARRIER_LINK_05,CS_CHILD_JOINT_joint6,CS_JOINT_joint6_PARENT_SIDE,OUTGOING_PARENT_SIDE,FALSE,FALSE
B51R1_CARRIER_LINK_06,CS_IN_joint6,CS_JOINT_joint6_CHILD_SIDE,GENERIC_LEGACY_INCOMING,FALSE,FALSE
B51R1_CARRIER_LINK_05,CS_OUT_joint6,CS_JOINT_joint6_PARENT_SIDE,GENERIC_LEGACY_OUTGOING,FALSE,FALSE
B51R1_CARRIER_LINK_07,CS_PARENT_JOINT_gripper_joint,CS_JOINT_gripper_joint_CHILD_SIDE,INCOMING_CHILD_SIDE,FALSE,FALSE
B51R1_CARRIER_LINK_06,CS_CHILD_JOINT_gripper_joint,CS_JOINT_gripper_joint_PARENT_SIDE,OUTGOING_PARENT_SIDE,FALSE,FALSE
B51R1_CARRIER_LINK_07,CS_IN_gripper_joint,CS_JOINT_gripper_joint_CHILD_SIDE,GENERIC_LEGACY_INCOMING,FALSE,FALSE
B51R1_CARRIER_LINK_06,CS_OUT_gripper_joint,CS_JOINT_gripper_joint_PARENT_SIDE,GENERIC_LEGACY_OUTGOING,FALSE,FALSE
B51R1_CARRIER_LINK_08,CS_PARENT_JOINT_gripper_joint1,CS_JOINT_gripper_joint1_CHILD_SIDE,INCOMING_CHILD_SIDE,FALSE,FALSE
B51R1_CARRIER_LINK_07,CS_CHILD_JOINT_gripper_joint1,CS_JOINT_gripper_joint1_PARENT_SIDE,OUTGOING_PARENT_SIDE,FALSE,FALSE
B51R1_CARRIER_LINK_08,CS_IN_gripper_joint1,CS_JOINT_gripper_joint1_CHILD_SIDE,GENERIC_LEGACY_INCOMING,FALSE,FALSE
B51R1_CARRIER_LINK_07,CS_OUT_gripper_joint1,CS_JOINT_gripper_joint1_PARENT_SIDE,GENERIC_LEGACY_OUTGOING,FALSE,FALSE
B51R1_CARRIER_LINK_09,CS_PARENT_JOINT_gripper_joint2,CS_JOINT_gripper_joint2_CHILD_SIDE,INCOMING_CHILD_SIDE,FALSE,FALSE
B51R1_CARRIER_LINK_07,CS_CHILD_JOINT_gripper_joint2,CS_JOINT_gripper_joint2_PARENT_SIDE,OUTGOING_PARENT_SIDE,FALSE,FALSE
B51R1_CARRIER_LINK_09,CS_IN_gripper_joint2,CS_JOINT_gripper_joint2_CHILD_SIDE,GENERIC_LEGACY_INCOMING,FALSE,FALSE
B51R1_CARRIER_LINK_07,CS_OUT_gripper_joint2,CS_JOINT_gripper_joint2_PARENT_SIDE,GENERIC_LEGACY_OUTGOING,FALSE,FALSE
B51R1_CARRIER_BASE,CS_OUT_J1,CS_JOINT_joint1_PARENT_SIDE,EXACT_LEGACY_CARRIER_MAP_OUTGOING,FALSE,FALSE
B51R1_CARRIER_LINK_01,CS_OUT_J2,CS_JOINT_joint2_PARENT_SIDE,EXACT_LEGACY_CARRIER_MAP_OUTGOING,FALSE,FALSE
B51R1_CARRIER_LINK_02,CS_OUT_J3,CS_JOINT_joint3_PARENT_SIDE,EXACT_LEGACY_CARRIER_MAP_OUTGOING,FALSE,FALSE
B51R1_CARRIER_LINK_03,CS_OUT_J4,CS_JOINT_joint4_PARENT_SIDE,EXACT_LEGACY_CARRIER_MAP_OUTGOING,FALSE,FALSE
B51R1_CARRIER_LINK_04,CS_OUT_J5,CS_JOINT_joint5_PARENT_SIDE,EXACT_LEGACY_CARRIER_MAP_OUTGOING,FALSE,FALSE
B51R1_CARRIER_LINK_05,CS_OUT_J6,CS_JOINT_joint6_PARENT_SIDE,EXACT_LEGACY_CARRIER_MAP_OUTGOING,FALSE,FALSE
B51R1_CARRIER_LINK_06,CS_OUT_GRIPPER_FIXED,CS_JOINT_gripper_joint_PARENT_SIDE,EXACT_LEGACY_CARRIER_MAP_OUTGOING,FALSE,FALSE
B51R1_CARRIER_LINK_07,CS_OUT_P1,CS_JOINT_gripper_joint1_PARENT_SIDE,EXACT_LEGACY_CARRIER_MAP_OUTGOING,FALSE,FALSE
B51R1_CARRIER_LINK_07,CS_OUT_P2,CS_JOINT_gripper_joint2_PARENT_SIDE,EXACT_LEGACY_CARRIER_MAP_OUTGOING,FALSE,FALSE
B51R1_CARRIER_BASE,CS_VISUAL,CS_VISUAL_MOUNT_base_link,CONTEXTUAL_VISUAL_ALIAS,FALSE,FALSE
B51R1_CARRIER_LINK_01,CS_VISUAL,CS_VISUAL_MOUNT_link1,CONTEXTUAL_VISUAL_ALIAS,FALSE,FALSE
B51R1_CARRIER_LINK_02,CS_VISUAL,CS_VISUAL_MOUNT_link2,CONTEXTUAL_VISUAL_ALIAS,FALSE,FALSE
B51R1_CARRIER_LINK_03,CS_VISUAL,CS_VISUAL_MOUNT_link3,CONTEXTUAL_VISUAL_ALIAS,FALSE,FALSE
B51R1_CARRIER_LINK_04,CS_VISUAL,CS_VISUAL_MOUNT_link4,CONTEXTUAL_VISUAL_ALIAS,FALSE,FALSE
B51R1_CARRIER_LINK_05,CS_VISUAL,CS_VISUAL_MOUNT_link5,CONTEXTUAL_VISUAL_ALIAS,FALSE,FALSE
B51R1_CARRIER_LINK_06,CS_VISUAL,CS_VISUAL_MOUNT_link6,CONTEXTUAL_VISUAL_ALIAS,FALSE,FALSE
B51R1_CARRIER_LINK_07,CS_VISUAL,CS_VISUAL_MOUNT_gripper_link,CONTEXTUAL_VISUAL_ALIAS,FALSE,FALSE
B51R1_CARRIER_LINK_08,CS_VISUAL,CS_VISUAL_MOUNT_gripper_left,CONTEXTUAL_VISUAL_ALIAS,FALSE,FALSE
B51R1_CARRIER_LINK_09,CS_VISUAL,CS_VISUAL_MOUNT_gripper_right,CONTEXTUAL_VISUAL_ALIAS,FALSE,FALSE
B51R1_CARRIER_LINK_01,AXIS_joint1_POS,AXIS_joint1,MOVING_AXIS_ALIAS,FALSE,FALSE
B51R1_CARRIER_LINK_01,PLN_joint1_Q0,PLANE_ZERO_joint1,ZERO_PLANE_ALIAS,FALSE,FALSE
B51R1_CARRIER_LINK_02,AXIS_joint2_POS,AXIS_joint2,MOVING_AXIS_ALIAS,FALSE,FALSE
B51R1_CARRIER_LINK_02,PLN_joint2_Q0,PLANE_ZERO_joint2,ZERO_PLANE_ALIAS,FALSE,FALSE
B51R1_CARRIER_LINK_03,AXIS_joint3_POS,AXIS_joint3,MOVING_AXIS_ALIAS,FALSE,FALSE
B51R1_CARRIER_LINK_03,PLN_joint3_Q0,PLANE_ZERO_joint3,ZERO_PLANE_ALIAS,FALSE,FALSE
B51R1_CARRIER_LINK_04,AXIS_joint4_POS,AXIS_joint4,MOVING_AXIS_ALIAS,FALSE,FALSE
B51R1_CARRIER_LINK_04,PLN_joint4_Q0,PLANE_ZERO_joint4,ZERO_PLANE_ALIAS,FALSE,FALSE
B51R1_CARRIER_LINK_05,AXIS_joint5_POS,AXIS_joint5,MOVING_AXIS_ALIAS,FALSE,FALSE
B51R1_CARRIER_LINK_05,PLN_joint5_Q0,PLANE_ZERO_joint5,ZERO_PLANE_ALIAS,FALSE,FALSE
B51R1_CARRIER_LINK_06,AXIS_joint6_POS,AXIS_joint6,MOVING_AXIS_ALIAS,FALSE,FALSE
B51R1_CARRIER_LINK_06,PLN_joint6_Q0,PLANE_ZERO_joint6,ZERO_PLANE_ALIAS,FALSE,FALSE
B51R1_CARRIER_LINK_08,AXIS_gripper_joint1_POS,AXIS_gripper_joint1,MOVING_AXIS_ALIAS,FALSE,FALSE
B51R1_CARRIER_LINK_08,PLN_gripper_joint1_Q0,PLANE_ZERO_gripper_joint1,ZERO_PLANE_ALIAS,FALSE,FALSE
B51R1_CARRIER_LINK_09,AXIS_gripper_joint2_POS,AXIS_gripper_joint2,MOVING_AXIS_ALIAS,FALSE,FALSE
B51R1_CARRIER_LINK_09,PLN_gripper_joint2_Q0,PLANE_ZERO_gripper_joint2,ZERO_PLANE_ALIAS,FALSE,FALSE
B51R1_CARRIER_BASE,CS_LINK,CS_LINK_base_link,CONTEXTUAL_LINK_ALIAS,FALSE,FALSE
B51R1_CARRIER_LINK_01,CS_LINK,CS_LINK_link1,CONTEXTUAL_LINK_ALIAS,FALSE,FALSE
B51R1_CARRIER_LINK_02,CS_LINK,CS_LINK_link2,CONTEXTUAL_LINK_ALIAS,FALSE,FALSE
B51R1_CARRIER_LINK_03,CS_LINK,CS_LINK_link3,CONTEXTUAL_LINK_ALIAS,FALSE,FALSE
B51R1_CARRIER_LINK_04,CS_LINK,CS_LINK_link4,CONTEXTUAL_LINK_ALIAS,FALSE,FALSE
B51R1_CARRIER_LINK_05,CS_LINK,CS_LINK_link5,CONTEXTUAL_LINK_ALIAS,FALSE,FALSE
B51R1_CARRIER_LINK_06,CS_LINK,CS_LINK_link6,CONTEXTUAL_LINK_ALIAS,FALSE,FALSE
B51R1_CARRIER_LINK_07,CS_LINK,CS_LINK_gripper_link,CONTEXTUAL_LINK_ALIAS,FALSE,FALSE
B51R1_CARRIER_LINK_08,CS_LINK,CS_LINK_gripper_left,CONTEXTUAL_LINK_ALIAS,FALSE,FALSE
B51R1_CARRIER_LINK_09,CS_LINK,CS_LINK_gripper_right,CONTEXTUAL_LINK_ALIAS,FALSE,FALSE
