path,bytes,sha256
ODR60_OPTION_A_COLLISION_AUTHORITY_GATE_V1.json,7336,81D9201F2A7F62C450C45A067E586BAD722688F300F4D3AC816427BF30C0D763
README.md,2707,DA2CB245E117201BE192527A44FA4CE833B4B8431F8B118A376121B5147B214C
base_link_proxy_v2/.B601_BASE_LINK_OPERATIONAL_COLLISION_PROXY_V2.step.glb,6998324,7929F99D76C2E6D08B887B743FA1C0CB9B757981AD2749C30227723F6D46350B
base_link_proxy_v2/B601_BASE_LINK_OPERATIONAL_COLLISION_PROXY_V2.step,4272720,D038C641D196B7B89318F120D64BB3A88C219E26699A4B2C33CFDC7225C3152E
base_link_proxy_v2/B601_BASE_LINK_OPERATIONAL_COLLISION_PROXY_V2_PREVIEW.glb,5696504,BA3618806C60FC81BAD0EB5EC2D433F7CC8D742CA03A1C116EC4544288732E86
base_link_proxy_v2/B601_BASE_LINK_OPERATIONAL_COLLISION_PROXY_V2_PREVIEW.stl,10377784,786DCC60D8E581655594BF20172A5B52F2E5099F625BB872DAF6134C8453153F
base_link_proxy_v2/B601_BASE_LINK_OPERATIONAL_COLLISION_PROXY_V2_SNAPSHOT_20260826T134200Z.png,226780,097EB6F8F60134D361FA59585CA22CBF228BD609F34F1A6FB2450166F8ABB776
base_link_proxy_v2/BASE_LINK_OPERATIONAL_COLLISION_RECEIPT_V2.json,7325,5871D0AF4F9E31BF19240E4C8E885CB4715DA8936FF74BBB34F2367655BBACDA
base_link_proxy_v2/BASE_LINK_OPERATIONAL_COLLISION_V2.npz,5398490,A0C5F9FAB58A748F2F89DC7CE398684B5A8C1205426C153C6752C56226250428
base_link_proxy_v2/BASE_LINK_OPERATIONAL_COLLISION_V2.stl,10374584,70C233379398BCC39CE7357076510EB8FC66CD801DB79ECBD59058F620259FA9
base_link_proxy_v2/BASE_LINK_OPERATIONAL_COLLISION_VALIDATION_V2.json,3644,95B8C76F212E1A5F37A729A19AAC89BEC4A7C010A82B4BF3AE79CC65D637124C
base_link_proxy_v2/CAD_BRIEF.md,4234,8D651591E5F28C4EE82966C9DAE3939AF5054ACC8E8258DBD96DD48DB8B2776E
base_link_proxy_v2/README.md,2560,8CDA3F00415F9EA5CE8F23CD891F18509BF8C87FE3DF2B2254D896218848ACCC
base_link_proxy_v2/emit_base_link_operational_collision_v2.py,29165,12F49B9F6E12CE74E1DB5913717BC6284366CF10A5E73FF670F81F49BF22E773
base_link_proxy_v2/generate_base_link_operational_collision_step_v2.py,8649,BD8C444F9825D5C68EC0C6F167FEB51821A016C2934E6A28027DBFB8ADCEA1F6
base_link_proxy_v2/test_base_link_operational_collision_v2.py,2917,9833D5947765707063540D9BA2501556581BE9ED4AAC80C496DB8976EACF68C8
base_link_proxy_v2/validate_base_link_operational_collision_v2.py,9052,B44C71BB2DF237416C2F814DFA6ABB2287E7284AA5DF3B0439B53CE68CAE4B06
build_odr60_collision_authority.py,30870,EE3462ABA626CCB339FDC933F4376E2CBCBE29835DB4CAD836B0C2F1E05B0BF3
system_registry/M01_LOCAL_CONTACT_WINDOWS_SOURCE_V1.json,6036,6B48C382D10E2C89EE56544707248B4D37DB55CB3BDABF5BAE39AF8AC470E47C
system_registry/M01_PAIR_COVERAGE_V1.csv,1416771,C1F64FB26D4E563EEF6BF798EE163645FE16766CC3C510552769DB7FDF97306C
system_registry/M01_SYSTEM_COLLISION_REGISTRY_GATE_V1.json,2872,F5E91371648756D43FF7CF6C03028FA95174428D088BAAC08254FAD8D5DCC3FF
system_registry/M01_SYSTEM_COLLISION_REGISTRY_V1.json,247325,AC975D11CC4715277E34FCFF7ABF049BC57334FD8F03AAB223BBED0877B1694F
system_registry/README.md,3528,CBAF58F67AC5E5FA86CA57ACABCF488F79F8F3CA3D126935CB525F4B6B07281C
system_registry/build_system_collision_registry.py,42611,8C08F6E9B6E9B125F82426A087E8088D3EEFCBD5EE612AFDDC26AEF7977F2F8B
system_registry/test_system_collision_registry.py,3746,48F7BD1D6507118E78C41717085A79F6079ECBE1291F0AF7DFBDB1B355C712F0
test_odr60_collision_authority.py,3958,FB4C2CC417CC481C3A4B24805938F70AEA90C341751D7A795A196668357453E4
