class,id,path,bytes,sha256
SOURCE_PIN,BASE_PREBIND_READINESS,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/unified_r2_digital_prototype_prebind/UNIFIED_R2_PREBIND_READINESS_V1.json,6375,92872D69E2C027E76A043BD531BEF6AB5C66B09513699C679691BCAEA456C512
SOURCE_PIN,BASE_PREBIND_GATE,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/unified_r2_digital_prototype_prebind/UNIFIED_R2_PREBIND_GATE_V1.json,3618,DA1F2661C3CCF641C9379CE50406A14510FABA9DC04B4E02F616768194F8CEAA
SOURCE_PIN,GEOMETRY_DELTA,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/internal_geometry_authority_closure/UNIFIED_R2_PREBIND_GEOMETRY_DELTA_V1.json,2773,4FACF1197E03E19F930C5753E2C9BF1463C38F1E50998297E960B666C2DC4BB5
SOURCE_PIN,ROUTE_C_SOURCE_REFRESH,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/mpi_phys_dyn_bridge/round1_bridge/route_c_prep/ROUTE_C_OFFICIAL_SOURCE_REFRESH_V1.yaml,6937,A548D4E1AFB7E3D9C96414C2BA7D2FC256CF77C7A7A35C41A7725991789268E4
SOURCE_PIN,M4_CONFIGURATION_LIBRARY,20_engineering/F3R2_MECHANICAL_DIGITAL_PROTOTYPE_RELEASE_V1/03_mass_properties/CONFIGURATION_LIBRARY_V1.yaml,26528,DCE40C1DB8A318A077F0DD92A47F236BE55EAF2FD32B4E514D2BB67C9B19B4A2
SOURCE_PIN,M7_R2_MASS_PROPERTIES,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp2_design_mass/SYSTEM_DESIGN_MASS_PROPERTIES_V3_R2.yaml,223714,3FD2557318E98748A37927977FA2925C18803668FE16391D824C184F646486BB
SOURCE_PIN,SOLAR_R2_ROOT_FRAMES,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/internal_geometry_authority_closure/SOLAR_R2_ROOT_FRAME_REGISTRATION_V1.yaml,9810,95011198263005A4CDA60FE24C1FB04583384889479C0B8E9AC20C2B411D93DC
OUTPUT,C01_C09_M4_M7_CONFIGURATION_IDENTITY_BINDING_V1,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/unified_r2_effective_frontier_v2/C01_C09_M4_M7_CONFIGURATION_IDENTITY_BINDING_V1.yaml,23619,34FD641D56B97A785A4D358574669EEA75A302BEF8419C4542CA5144097034B4
OUTPUT,UNIFIED_R2_PREBIND_EFFECTIVE_FRONTIER_V2,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/unified_r2_effective_frontier_v2/UNIFIED_R2_PREBIND_EFFECTIVE_FRONTIER_V2.json,11275,E04C30610808971C81070A01C71D5846B3C2F5975384A22EE28053D9B2FFF2ED
OUTPUT,UNIFIED_R2_PREBIND_EFFECTIVE_FRONTIER_GATE_V2,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/unified_r2_effective_frontier_v2/UNIFIED_R2_PREBIND_EFFECTIVE_FRONTIER_GATE_V2.json,4892,E1FD91A13538949152CAECD330658C43C9B6B17CA78AFAD8637B23A650CADE40
OUTPUT,UNIFIED_R2_PREBIND_EFFECTIVE_FRONTIER_RECEIPT_V2,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/unified_r2_effective_frontier_v2/UNIFIED_R2_PREBIND_EFFECTIVE_FRONTIER_RECEIPT_V2.md,666,4723FEC97BD173B4AE7D6BE5E66E762F4B6AB27920BDF48A32B43F1A77886BB4
