finding_id,blocks_gate,defer_to_gate,closure_kind,technical_status,a0_a6_disposition,closure_evidence_path,admission_effect
AUTH-001,G1A,NONE,AUTHORITY_CLOSURE_REQUIRED,OPEN,PENDING,null,BLOCK_G1A
AUTH-002,G1A_G1B,NONE,HUMAN_FRAMEWORK_ACCEPTANCE_REQUIRED,MITIGATED_PENDING,PENDING,null,BLOCK_G1A
AUTH-003,G1A,NONE,HUMAN_DISPOSITION_AND_HASH_PROOF_REQUIRED,OPEN,PENDING,null,BLOCK_G1A
AUTH-004,G1A,NONE,ACCURATE_POLICY_OR_ATTRIBUTE_DECISION_REQUIRED,OPEN,PENDING,null,BLOCK_G1A
AUTH-005,G1A,NONE,V2_HASH_LOCK_REQUIRED,OPEN,PENDING,null,BLOCK_G1A
AUTH-006,G1A,NONE,MANIFEST_V2_REQUIRED,OPEN,PENDING,null,BLOCK_G1A
AUTH-007,NONE,W00,FRAMEWORK_CORRECTION_PRESENT,MITIGATED,ACCEPTED_IN_LOOP00,LOOP00_AUTHORITY_LOCK.json,NO_S01_BLOCK
AUTH-008,G1B,NONE,G1B_ADMISSION_V2_REQUIRED,OPEN,PENDING,null,BLOCK_G1B
MRT-G1-001,G1A,NONE,EVIDENCE_GRAPH_CLOSURE_REQUIRED,OPEN,PENDING,null,BLOCK_G1A
MRT-G1-002,G1A,NONE,HUMAN_TOLERANCE_AUTHORIZATION_REQUIRED,MITIGATED_PENDING,PENDING,null,BLOCK_G1A
MRT-G1-003,G1A,NONE,HUMAN_DATUM_RATIFICATION_REQUIRED,MITIGATED_PENDING,PENDING,null,BLOCK_G1A
MRT-A7-004,G1A,NONE,A0_A6_REVIEW_COVERAGE_ACCEPTANCE_REQUIRED,MITIGATED_PENDING,PENDING,null,BLOCK_G1A
MRT-A1-005,NONE,G7_G9,DEFERRED_HOLD_REGISTERED,OPEN_DOWNSTREAM,PENDING_A0_A6_APPROVAL,null,NO_S01_BLOCK_IF_APPROVED
MRT-A1-006,NONE,G7_G9,DEFERRED_HOLD_REGISTERED,OPEN_DOWNSTREAM,PENDING_A0_A6_APPROVAL,null,NO_S01_BLOCK_IF_APPROVED
MRT-A4-007,NONE,G7_G9,DEFERRED_HOLD_REGISTERED,OPEN_DOWNSTREAM,PENDING_A0_A6_APPROVAL,null,NO_S01_BLOCK_IF_APPROVED
MRT-A4-008,NONE,G8_G10,DEFERRED_HOLD_REGISTERED,OPEN_DOWNSTREAM,PENDING_A0_A6_APPROVAL,null,NO_S01_BLOCK_IF_APPROVED
MRT-A5-009,NONE,G8B_G10,DEFERRED_HOLD_REGISTERED,OPEN_DOWNSTREAM,PENDING_A0_A6_APPROVAL,null,NO_S01_BLOCK_IF_APPROVED
MRT-A5-010,NONE,G9_G10,DEFERRED_HOLD_REGISTERED,OPEN_DOWNSTREAM,PENDING_A0_A6_APPROVAL,null,NO_S01_BLOCK_IF_APPROVED
MRT-A4A5-011,NONE,G7_G9,DEFERRED_HOLD_REGISTERED,OPEN_DOWNSTREAM,PENDING_A0_A6_APPROVAL,null,NO_S01_BLOCK_IF_APPROVED
MRT-A5-012,NONE,G9_G10,DEFERRED_HOLD_REGISTERED,OPEN_DOWNSTREAM,PENDING_A0_A6_APPROVAL,null,NO_S01_BLOCK_IF_APPROVED
MRT-A5-013,NONE,G9_G10,DEFERRED_HOLD_REGISTERED,OPEN_DOWNSTREAM,PENDING_A0_A6_APPROVAL,null,NO_S01_BLOCK_IF_APPROVED
MRT-CM-014,G1A,NONE,CURRENT_STATUS_RECOMPOSITION_REQUIRED,OPEN,PENDING,null,BLOCK_G1A
RBT-A2-001,NONE,G6_G10,DEFERRED_HOLD_REGISTERED,OPEN_DOWNSTREAM,PENDING_A0_A6_APPROVAL,B51R1_PHASE2_URDF_DEPENDENCY_AND_PARSER_GATE.yaml,NO_S01_BLOCK_IF_APPROVED
RBT-A2-002,NONE,G4_G10,DEFERRED_HOLD_REGISTERED,OPEN_DOWNSTREAM,PENDING_A0_A6_APPROVAL,B51R1_PHASE2_URDF_DEPENDENCY_AND_PARSER_GATE.yaml,NO_S01_BLOCK_IF_APPROVED
RBT-A2-003,NONE,G4_G10,DEFERRED_HOLD_REGISTERED,OPEN_DOWNSTREAM,PENDING_A0_A6_APPROVAL,B51R1_PHASE2_URDF_DEPENDENCY_AND_PARSER_GATE.yaml,NO_S01_BLOCK_IF_APPROVED
RBT-A2-004,G1A,NONE,HUMAN_NAMING_AND_OWNERSHIP_FREEZE_REQUIRED,OPEN,PENDING,null,BLOCK_G1A
RBT-A3-005,NONE,G10,DEFERRED_HOLD_REGISTERED,OPEN_DOWNSTREAM,PENDING_A0_A6_APPROVAL,null,NO_S01_BLOCK_IF_APPROVED
RBT-A2-006,NONE,G4_G5,DEFERRED_HOLD_REGISTERED,OPEN_DOWNSTREAM,PENDING_A0_A6_APPROVAL,null,NO_S01_BLOCK_IF_APPROVED
RBT-A8-007,NONE,G6_G10,DEFERRED_HOLD_REGISTERED,OPEN_DOWNSTREAM,PENDING_A0_A6_APPROVAL,null,NO_S01_BLOCK_IF_APPROVED
RBT-A8-008,NONE,G10,DEFERRED_HOLD_REGISTERED,OPEN_DOWNSTREAM,PENDING_A0_A6_APPROVAL,null,NO_S01_BLOCK_IF_APPROVED
RBT-A3-009,NONE,G9_G10,DEFERRED_HOLD_REGISTERED,OPEN_DOWNSTREAM,PENDING_A0_A6_APPROVAL,null,NO_S01_BLOCK_IF_APPROVED
RBT-A0-010,G1B,NONE,G1B_ADMISSION_V2_REQUIRED,OPEN,PENDING,B51R1_PHASE2_G1B_S01_ADMISSION_PENDING.yaml,BLOCK_G1B
FW-G1A-004,G1A,NONE,A0_A6_GATE_SCOPING_APPROVAL_REQUIRED,MITIGATED_PENDING,PENDING,B51R1_PHASE2_FINDING_DISPOSITION_REGISTER.csv,BLOCK_G1A
A3A8-G8-003,NONE,G8_G10,DEFERRED_HOLD_REGISTERED,OPEN_DOWNSTREAM,PENDING_A0_A6_APPROVAL,null,NO_S01_BLOCK_IF_APPROVED
A3A8-G8-004,NONE,G8_G10,DEFERRED_HOLD_REGISTERED,OPEN_DOWNSTREAM,PENDING_A0_A6_APPROVAL,null,NO_S01_BLOCK_IF_APPROVED
