artifact_id,phase,session,gate,path_or_pattern,artifact_type,expected_count,current_count,current_status,acceptance_boundary
S00_LOOP00,S00,OFFLINE,G1A,09_DELIVERY/B51R1_PHASE2_S00_G1_REVIEW_WORKSET_20260801/LOOP00_AUTHORITY_LOCK.json,JSON,1,1,HOLD_EVIDENCE_CREATED,"read-only facts; G1A HOLD"
S00_DATUM_PENDING,S00,OFFLINE,G1A,09_DELIVERY/B51R1_PHASE2_S00_G1_REVIEW_WORKSET_20260801/B51R1_PHASE2_G1_DATUM_ADJUDICATION_PENDING.yaml,YAML,1,1,PENDING_HUMAN_RATIFICATION,"expert recommendation separate from human decision"
S00_NAMING_PENDING,S00,OFFLINE,G1A,09_DELIVERY/B51R1_PHASE2_S00_G1_REVIEW_WORKSET_20260801/B51R1_PHASE2_G1_FEATURE_NAMING_FREEZE_PENDING.yaml,YAML,1,1,PENDING_HUMAN_FREEZE,"unique names ownership and alias require signature"
S00_TOLERANCE_PENDING,S00,OFFLINE,G1A,09_DELIVERY/B51R1_PHASE2_S00_G1_REVIEW_WORKSET_20260801/B51R1_PHASE2_G1_ACCEPTANCE_TOLERANCE_AUTHORITY_PENDING.yaml,YAML,1,1,PENDING_HUMAN_AUTHORIZATION,"14 selected value unit metric triplets remain null"
S00_FEATURE_REGISTER,S00,OFFLINE,G1A,09_DELIVERY/B51R1_PHASE2_S00_G1_REVIEW_WORKSET_20260801/B51R1_PHASE2_G1_EXPANDED_NATIVE_FEATURE_REGISTER.csv,CSV,1,1,EXPERT_CANDIDATE,"10 Carrier rows pending human freeze"
S00_URDF_GATE,S00,OFFLINE,G1A,09_DELIVERY/B51R1_PHASE2_S00_G1_REVIEW_WORKSET_20260801/B51R1_PHASE2_URDF_DEPENDENCY_AND_PARSER_GATE.yaml,YAML,1,1,DOWNSTREAM_HOLDS_REGISTERED,"kinematics mass parse only; meshes and parser modes open"
S00_FINDINGS,S00,OFFLINE,G1A,09_DELIVERY/B51R1_PHASE2_S00_G1_REVIEW_WORKSET_20260801/B51R1_PHASE2_G1_ADVERSARIAL_FINDINGS.csv,CSV,1,1,OPEN,"35 findings with applicable Gates"
S00_DISPOSITIONS,S00,OFFLINE,G1A,09_DELIVERY/B51R1_PHASE2_S00_G1_REVIEW_WORKSET_20260801/B51R1_PHASE2_FINDING_DISPOSITION_REGISTER.csv,CSV,1,1,PENDING_A0_A6_APPROVAL,"G1 closure versus downstream deferred HOLD"
S00_REVIEW,S00,OFFLINE,G1A,09_DELIVERY/B51R1_PHASE2_S00_G1_REVIEW_WORKSET_20260801/B51R1_PHASE2_G1_MULTIAGENT_REVIEW.md,MARKDOWN,1,1,HOLD,"A0 through A8 integrated review"
S00_CLAIM_MATRIX,S00,OFFLINE,G1A,09_DELIVERY/B51R1_PHASE2_S00_G1_REVIEW_WORKSET_20260801/B51R1_PHASE2_CLAIM_MATRIX.csv,CSV,1,1,HOLD,"allowed wording and forbidden extrapolation"
S00_FRAMEWORK,S00,OFFLINE,G1A,09_DELIVERY/B51R1_PHASE2_S00_G1_REVIEW_WORKSET_20260801/B51R1_PHASE2_ENGINEERING_CONTENT_FRAMEWORK.md,MARKDOWN,1,1,PREPARED_FOR_HUMAN_REVIEW,"framework only no CAD authorization"
S00_LOCKFILE_RECEIPT,S00,OFFLINE,G1A,09_DELIVERY/B51R1_PHASE2_S00_G1_REVIEW_WORKSET_20260801/B51R1_STAGE_A_LOCKFILE_DISPOSITION_RECEIPT.json,JSON,1,1,HUMAN_DECISION_REQUIRED,"no automatic delete or move"
S00_REFREEZE_PLAN,S00,OFFLINE,G1A,09_DELIVERY/B51R1_PHASE2_S00_G1_REVIEW_WORKSET_20260801/B51R1_PHASE2_G1_REFREEZE_PLAN.json,JSON,1,1,PLAN_ONLY,"target V2 lock not created"
S00_G1_HOLD_RECEIPT,S00,OFFLINE,G1A,09_DELIVERY/B51R1_PHASE2_S00_G1_REVIEW_WORKSET_20260801/B51R1_PHASE2_G1_HUMAN_ADJUDICATION_RECEIPT.json,JSON,1,1,HOLD,"not a PASS receipt"
S00_G1B_PENDING,S00,OFFLINE,G1B,09_DELIVERY/B51R1_PHASE2_S00_G1_REVIEW_WORKSET_20260801/B51R1_PHASE2_G1B_S01_ADMISSION_PENDING.yaml,YAML,1,1,NOT_AUTHORIZED,"zero visible launches"
S00_MEMORY_RECORD,S00,OFFLINE,G1A,09_DELIVERY/B51R1_PHASE2_S00_G1_REVIEW_WORKSET_20260801/B51R1_PHASE2_S00_PROJECT_MEMORY_RECORD.md,MARKDOWN,1,1,CREATED,"project-scoped persistent memory"
S00_README,S00,OFFLINE,G1A,09_DELIVERY/B51R1_PHASE2_S00_G1_REVIEW_WORKSET_20260801/README.md,MARKDOWN,1,1,CREATED,"human review order"
