category,path,bytes,sha256,status,claim_limit
workset,B51R1_PHASE2_CLAIM_MATRIX.csv,3507,91E8135276E5AF474E9A8D39857D8CA9B6D050D4B1CE5C0C6AFBAE5CA32D9258,HOLD_CLAIM_MATRIX,no engineering completion credit
workset,B51R1_PHASE2_ENGINEERING_CONTENT_FRAMEWORK.md,16722,9EA85454E596FBCD3999248F52DE2DE7AC1461C60F657DBB1D4B3DA19EF2E8F1,PREPARED_FOR_HUMAN_REVIEW,framework only
workset,B51R1_PHASE2_FINDING_DISPOSITION_REGISTER.csv,3959,DF04444A63446433811914295887B77C6C34A605EB9D3864FB5CCF537D15EA8E,PENDING_A0_A6_APPROVAL,gate-scoped disposition not technical closure
workset,B51R1_PHASE2_G1_ACCEPTANCE_TOLERANCE_AUTHORITY_PENDING.yaml,5543,0DAC725106A79FB17787A9CC6D23264BA3B9F89A39D4A6339B106CCE9D40F6B9,PENDING_HUMAN_AUTHORIZATION,no acceptance tests authorized
workset,B51R1_PHASE2_G1_ADVERSARIAL_FINDINGS.csv,14620,A4AEE57DF3D4512F77B83513E6237E8CDCB4F2BF9821EB4DE1C1F76CC688C1AD,OPEN_FINDINGS,35 findings
workset,B51R1_PHASE2_G1_DATUM_ADJUDICATION_PENDING.yaml,2645,5B4CA143B519815301928955347B712A7851F26B0C33A7136235D0D341F765B1,PENDING_HUMAN_RATIFICATION,no native datum authority
workset,B51R1_PHASE2_G1_EXPANDED_NATIVE_FEATURE_REGISTER.csv,2629,472471C86EB9E466BA7A2237848369124133D4AE64B182D4EE976430EDC66CC7,EXPERT_CANDIDATE_PENDING_HUMAN_FREEZE,no native feature creation credit
workset,B51R1_PHASE2_G1_FEATURE_NAMING_FREEZE_PENDING.yaml,3163,B8547AE993C081229BC95CA8232556985CD84E24DCE566BF5CFFD8359CFA5A53,PENDING_HUMAN_FREEZE,no naming authority
workset,B51R1_PHASE2_G1_HUMAN_ADJUDICATION_RECEIPT.json,6657,1A7306E1B46FA01EBBF8C8A2030215298C7D8684D30C452EF8B87ADFDB6C7EDC,G1A_HOLD,not a PASS receipt
workset,B51R1_PHASE2_G1_MULTIAGENT_REVIEW.md,7830,D66F07DD76E293BC80991D6D8F26AE0660F076C7FFE7EE7143C39E49346B8EAB,G1A_HOLD,review only
workset,B51R1_PHASE2_G1_REFREEZE_PLAN.json,6224,5E10892E1A63515282647E0FE833C59A81F8D09AD0DD7CE204BB6A056C1C1C75,PLAN_ONLY,V2 lock not created
workset,B51R1_PHASE2_G1B_S01_ADMISSION_PENDING.yaml,2208,E412438E1E2C83701E638234F9CAE6B8FF28B67247A0B5A20A9CABC88599D584,NOT_AUTHORIZED,zero visible launches
workset,B51R1_PHASE2_S00_EXPECTED_ARTIFACT_MANIFEST_V2.csv,9088,8EA728F443AE7E77B0F86E0075362222AE439491E8B3E1EA44F37817F0A933C6,PREPARED,future artifacts remain absent
workset,B51R1_PHASE2_S00_PROJECT_MEMORY_RECORD.md,3707,5E526F7EF875F4FB851B903A0203651750A622E944A320EEF42FE3B195E59AAF,CREATED,project-scoped memory record
workset,B51R1_PHASE2_URDF_DEPENDENCY_AND_PARSER_GATE.yaml,3006,CAD59CF8E9EC53D18514A957C7862D12BD649FB956CCE4E25177E79AF62ABD19,DOWNSTREAM_HOLDS,kinematics and mass text parse only
workset,B51R1_STAGE_A_LOCKFILE_DISPOSITION_RECEIPT.json,1420,315CD4D8CC79D8C8565E977254DEE49C95F079D0E0683F801919DA40BED9BFA3,HUMAN_DECISION_REQUIRED,no disposition executed
workset,LOOP00_AUTHORITY_LOCK.json,9743,F33C88574CE8AC3B15618C87F45B6A96260C32C1F522578A71C045DA74EF8832,G1A_HOLD,no S01 authorization
workset,README.md,1992,BDA5AD8D8774ABB8DEAA962BE89B0787CEAC2394373BF44DDB2D23D16EC5375D,CREATED,human review entrypoint
intake,00_BASELINE/AUTHORIZATION_PACKAGE/B51R1_PHASE2_LOOP_MULTIAGENT_MECHANICAL_PACKAGE_INTAKE_20260801/B51R1_PHASE2_LOOP_MULTIAGENT_MECHANICAL_PACKAGE.zip,11814,277AFF81693DF362BBE45B01528452156E9481FD003E07C903E8E0358BABFDD2,INTAKE_INTEGRITY_PASS,not S01 authorization
intake,00_BASELINE/AUTHORIZATION_PACKAGE/B51R1_PHASE2_LOOP_MULTIAGENT_MECHANICAL_PACKAGE_INTAKE_20260801/CONTENTS/B51R1_PHASE2_LOOP_MULTIAGENT_MECHANICAL_PACKAGE/B51R1_PHASE2_G1_EXPERT_ADJUDICATION_RECOMMENDATION.yaml,2426,C10DBD2C634008546BC855FAC592C228CE71656A3BC8D0418992407F0A26BBF0,EXPERT_RECOMMENDATION,pending human ratification
intake,00_BASELINE/AUTHORIZATION_PACKAGE/B51R1_PHASE2_LOOP_MULTIAGENT_MECHANICAL_PACKAGE_INTAKE_20260801/CONTENTS/B51R1_PHASE2_LOOP_MULTIAGENT_MECHANICAL_PACKAGE/B51R1_PHASE2_MULTIAGENT_REVIEW_MATRIX.csv,1018,5B18D1C44E225FD253F69A4DC89BB6E0839CA151651A4DE72CD759666A576745,INPUT,expanded review supersedes coverage only after human acceptance
intake,00_BASELINE/AUTHORIZATION_PACKAGE/B51R1_PHASE2_LOOP_MULTIAGENT_MECHANICAL_PACKAGE_INTAKE_20260801/CONTENTS/B51R1_PHASE2_LOOP_MULTIAGENT_MECHANICAL_PACKAGE/B51R1_S01_EXACT_AUTHORIZATION_TEXT.txt,795,79ED84768BE49648C68FB6DF2DEB5E233AA90ED676BB7BABDE09D2964742E3BA,TEMPLATE_ONLY,not an issued authorization
