finding_id,agent,discipline,attacked_claim,attack_method,evidence,severity,gate_impact,required_correction,closure_evidence,current_status,disposition_scope
AUTH-001,A0_A6,Authority_Evidence,"S00 evidence is sufficient for G1 PASS","Compare prompt-required S00 outputs with current lock and manifest","G1 receipt review findings and refrozen V2 lock were absent at audit start",CRITICAL,G1A,"Create detached S00 workset receipt review findings manifest and V2 refreeze","Signed receipt plus recomputed V2 lock and A0/A6 audit",OPEN_G1A,G1A_BLOCKING
AUTH-002,A0_A6,Authority_Evidence,"G1 and S01 authorization order is non-circular","Compare gate checklist with exact S01 template","Checklist requires session authorization inside G1 while S01 text requires G1 first",HIGH,G1A_G1B,"Split G1A authority/hash lock from G1B S01 admission","Human-approved split and machine-enforced admission V2",MITIGATED_PENDING_HUMAN_ACCEPTANCE,G1A_BLOCKING
AUTH-003,A0_A6,Configuration,"Stage A is cleanly closed and ready as protected input","Inspect process count and Stage A directory","SLDWORKS=0 but 6-byte ~$ lock file remains with SHA 0D4778...A4F47",HIGH,G1A,"Human-approved recoverable disposition then prove Stage A hash unchanged","Lockfile disposition receipt and post-action hash",OPEN_G1A,G1A_BLOCKING
AUTH-004,A0_A6,Configuration,"Protected inputs are OS-level read-only","Inspect Windows file attributes","Stage A and accepted URDF filesystem ReadOnly are false",MEDIUM,G1A,"State policy-read-only plus hash guard accurately or authorize OS attribute change","Receipt records policy and filesystem attributes without overclaim",OPEN_G1A,G1A_BLOCKING
AUTH-005,A0_A6,Authority_Evidence,"Current V1 input lock controls the new Loop package and signed G1 artifacts","Compare 15 locked inputs to intake and S00 outputs","New intake current Phase1 Gate signed YAMLs review receipt and lock disposition are absent from V1 lock",CRITICAL,G1A,"Generate V2 refrozen input lock after human signatures","Every V2 item path bytes and hash recomputed with PASS_HASH_LOCKED",OPEN_G1A,G1A_BLOCKING
AUTH-006,A0_A6,Verification,"29-row expected manifest covers Phase2A evidence","Compare launch scope outputs with manifest","S01 S02 10xS03 10xS04 and S00 evidence receipts are omitted",HIGH,G1A_G5,"Issue comprehensive V2 manifest with receipt patterns and S00 artifacts","CSV parse unique IDs and actual future counts verified",OPEN_G1A,G1A_BLOCKING
AUTH-007,A0_A6,Configuration,"Git status can serve as candidate configuration authority","Read full status with long paths","Repository has 4520 status entries and candidate has 454; artifacts are untracked",MEDIUM,W00,"Use file hash locks as authority and record Git snapshot only","Claim explicitly states git_is_configuration_authority=false",MITIGATED,W00_CONTROL
AUTH-008,A0_A6,Authorization,"Original authorization YAML enforces new G1A rules","Compare activation fields to new review requirements","V1 lacks G1A receipt hash Critical/High disposition lockfile receipt and V2 lock checks",CRITICAL,G1B,"Use G1B S01 admission V2 with exact [S01] and one-launch invariants","Signed admission receipt verifies every G1A dependency",OPEN_G1B,G1B_BLOCKING
MRT-G1-001,A1_A4_A5_A7,Mechanical_RedTeam,"S00 can be promoted from the original package alone","Trace mandatory prompt outputs into lock and manifest","Original package omits G1 receipt and completed multiagent review",CRITICAL,G1A,"Bind workset artifacts and detached signatures in V2 lock","A0/A6 validates complete evidence graph",OPEN_G1A,G1A_BLOCKING
MRT-G1-002,A1_A4_A5_A7,Mechanical_RedTeam,"Expert tolerances fit the V1 authority schema","Field-by-field dimensional comparison","V1 collapses translation/rotation R/P persistence and R/P limit fields",CRITICAL,G1A_G4_G5,"Adopt normalized 14-item V2 schema with explicit metrics","Human-signed V2 schema and parser validation",MITIGATED_PENDING_HUMAN_AUTHORIZATION,G1A_BLOCKING
MRT-G1-003,A1_A4_A5_A7,Datum,"Human must invent a physical meaning for 105.65 mm","Compare datum template pass rule to expert recommendation","Expert permits historical semantic unresolved/no-drive while V1 asks human to identify it",HIGH,G1A_G2,"Allow signed unresolved/no-drive disposition without guessing","Human datum receipt preserves history and prohibits native use",MITIGATED_PENDING_HUMAN_RATIFICATION,G1A_BLOCKING
MRT-A7-004,A7,RedTeam_Coverage,"Original review matrix covers all mandated attacks","Compare matrix A7 row with 14 master-prompt attack classes","Panel load overconstraint CAD mass drawing config and control-release attacks are missing",HIGH,ALL,"Use expanded findings register and independent reviewers","All attack classes have explicit status and applicable gate",MITIGATED_BY_THIS_REVIEW_PENDING_A0_A6,ALL_GATES
MRT-A1-005,A1,Spacecraft_Mechanics,"G07/G08 panel-layer footprints may seed structural supports","Trace contact witness to named primary structure","Footprints are on 113.15 removable-panel layer with LOAD_CREDIT_NONE and path ends at UNKNOWN",CRITICAL,G7_G9,"Require panel-bypass connection to named frames/longerons and zero credited panel reaction","Occurrence graph BREP and six-unit-load balanced reactions",DEFERRED_HOLD,G7_G9_BLOCKING
MRT-A1-006,A1,Interface_Trade,"Adapter A/B/C can be downselected now","Audit trade evidence and scoring","Load path fasteners keepouts loads scores and ranks are TBD; downselect is null",HIGH,G7_G9,"Freeze criteria weights thresholds ModeA/B branches and robustness study","Signed evidence-backed scorebook and sensitivity",DEFERRED_HOLD,G7_G9_BLOCKING
MRT-A4-007,A4,Mechanism,"Qualitative G07/G08 DOF allocation proves no overconstraint","Check six-DOF/contact mathematical completeness","No common contact frames Jacobian stiffness friction preload tolerances or state model",HIGH,G7_G9,"Define unilateral contact model and rank/conditioning/tolerance-corner analysis","Machine-readable Jacobian contact states and reaction distributions",DEFERRED_HOLD,G7_G9_BLOCKING
MRT-A4-008,A4,State_Machine,"Current configuration matrix covers release and failure sequence","Compare required exact states to current matrix","SOLAR_DEPLOY_CONFIRMED HDRM_RELEASE_START separate G07/G08 clear and failure states are omitted or collapsed",HIGH,G8_G10,"Create exact state/transition contract with guards timeouts and independent failures","Versioned matrix and transition traces for every state",DEFERRED_HOLD,G8_G10_BLOCKING
MRT-A5-009,A5,Clearance_Structural,"Rigid continuous-clearance PASS remains valid after structural analysis","Trace gate order and deformation feedback","G8 precedes G9 and no mandatory CL rerun consumes deformation envelopes",HIGH,G8_G9_G10,"Split G8a rigid nominal and G8b robust post-structural clearance","CL manifest binds tolerance thermal elastic harness and backlash envelopes",DEFERRED_HOLD,G8B_G10_BLOCKING
MRT-A5-010,A5,Structural,"Six unit loads and 6x6 matrix are sufficiently specified","Audit mathematical load contract","Reference point ordering mixed units sign form transform and BCs are not frozen",HIGH,G9_G10,"Freeze CS_B601_BASE wrench/twist schema BCs transforms equilibrium and convergence","Load-case register independent hand-check balanced reactions and convergence",DEFERRED_HOLD,G9_G10_BLOCKING
MRT-A4A5-011,A4_A5,HDRM_Structural,"HDRM state-dependent load transfer is covered","Compare mechanism requirements to structural matrix","No selected device preload stroke shock retention or state-reaction allocation exists",HIGH,G7_G8_G9,"Add state-interface reaction matrix and HDRM hold/release/failure load cases","Approved device ICD margins release dynamics and residual envelope",DEFERRED_HOLD,G7_G9_BLOCKING
