eta_conversion_assumed,operation_minutes,arm_plus_coil_energy_wh,charge_eff_assumed,required_PV_surplus_wh,per_orbit_net_wh,screen_balanced,identity
0.8,1,7.641666666666667,0.85,8.990196078431373,0.05743632457236636,True,SENSITIVITY_NOT_MISSION_ACCEPTANCE
0.8,2,15.283333333333333,0.85,17.980392156862745,-8.932759753859006,False,SENSITIVITY_NOT_MISSION_ACCEPTANCE
0.8,5,38.20833333333333,0.85,44.95098039215686,-35.90334798915312,False,SENSITIVITY_NOT_MISSION_ACCEPTANCE
0.8,10,76.41666666666666,0.85,89.90196078431372,-80.85432838130998,False,SENSITIVITY_NOT_MISSION_ACCEPTANCE
0.8,20,152.83333333333331,0.85,179.80392156862743,-170.75628916562368,False,SENSITIVITY_NOT_MISSION_ACCEPTANCE
0.9,1,6.792592592592593,0.85,7.991285403050109,1.0563469999536297,True,SENSITIVITY_NOT_MISSION_ACCEPTANCE
0.9,2,13.585185185185185,0.85,15.982570806100219,-6.93493840309648,False,SENSITIVITY_NOT_MISSION_ACCEPTANCE
0.9,5,33.96296296296296,0.85,39.95642701525055,-30.90879461224681,False,SENSITIVITY_NOT_MISSION_ACCEPTANCE
0.9,10,67.92592592592592,0.85,79.9128540305011,-70.86522162749736,False,SENSITIVITY_NOT_MISSION_ACCEPTANCE
0.9,20,135.85185185185185,0.85,159.8257080610022,-150.77807565799844,False,SENSITIVITY_NOT_MISSION_ACCEPTANCE
0.96,1,6.368055555555555,0.85,7.491830065359477,1.5558023376442618,True,SENSITIVITY_NOT_MISSION_ACCEPTANCE
0.96,2,12.73611111111111,0.85,14.983660130718954,-5.936027727715215,False,SENSITIVITY_NOT_MISSION_ACCEPTANCE
0.96,5,31.84027777777778,0.85,37.459150326797385,-28.411517923793646,False,SENSITIVITY_NOT_MISSION_ACCEPTANCE
0.96,10,63.68055555555556,0.85,74.91830065359477,-65.87066825059102,False,SENSITIVITY_NOT_MISSION_ACCEPTANCE
0.96,20,127.36111111111111,0.85,149.83660130718954,-140.7889689041858,False,SENSITIVITY_NOT_MISSION_ACCEPTANCE
