item_no,component_name,part_number,revision,quantity,material,native_path,native_sha256,configuration,source_class,provisional_mass_g,release_scope,status,holds
1,B601_INTERFACE_STAGE_A_REV_B2,SEI-V5-B601_INTERFACE_STAGE_A_REV_B2,V5-A,1,AL6061-T6,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/adapter/B601_INTERFACE_STAGE_A_REV_B2.SLDPRT,FC84FBBA450A3C975B1AFA798CF37C492AB2680251BA906FBC1FA383800C1978,DEFAULT,CAD_VOLUME_DENSITY_V4,345.018961,COMPETITION_PROTOTYPE_MANUFACTURING_CANDIDATE,LOOP1_NATIVE_IMPORT_PASS,NATIVE_MASS_MEASUREMENT_PENDING
2,B601_LOAD_ADAPTER_STAGE_B_REV_B2,SEI-V5-B601_LOAD_ADAPTER_STAGE_B_REV_B2,V5-A,1,AL6061-T6,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/adapter/B601_LOAD_ADAPTER_STAGE_B_REV_B2.SLDPRT,AC85890EF29FCC3D5C6FAD87E0255BBAC03256B9EA9FA561092B6CF6CB1BE085,DEFAULT,CAD_VOLUME_DENSITY_V4,437.308287,COMPETITION_PROTOTYPE_MANUFACTURING_CANDIDATE,LOOP1_NATIVE_IMPORT_PASS,NATIVE_MASS_MEASUREMENT_PENDING
3,LEFT_WING_ROOT_THREE_WEB_CLEVIS,SEI-V5-LEFT_WING_ROOT_THREE_WEB_CLEVIS,V5-A,1,AL6061-T6,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/wing_root/LEFT_WING_ROOT_THREE_WEB_CLEVIS.SLDPRT,AC60E3A07C84F21CF6E20D01533333345713EE3B28F9966BAAC4B452A4FCE673,DEFAULT,CAD_VOLUME_DENSITY_V4,30.577191,COMPETITION_PROTOTYPE_MANUFACTURING_CANDIDATE,LOOP1_NATIVE_IMPORT_PASS,NATIVE_MASS_MEASUREMENT_PENDING
4,RIGHT_WING_ROOT_THREE_WEB_CLEVIS,SEI-V5-RIGHT_WING_ROOT_THREE_WEB_CLEVIS,V5-A,1,AL6061-T6,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/wing_root/RIGHT_WING_ROOT_THREE_WEB_CLEVIS.SLDPRT,2D8121989230723A9D29C43672D8534D719D2AF7A64C110D0B0D16EAA31B1894,DEFAULT,CAD_VOLUME_DENSITY_V4,30.577191,COMPETITION_PROTOTYPE_MANUFACTURING_CANDIDATE,LOOP1_NATIVE_IMPORT_PASS,NATIVE_MASS_MEASUREMENT_PENDING
5,WING_HINGE_AXIAL_SPACER,SEI-V5-WING_HINGE_AXIAL_SPACER,V5-A,1,PTFE-FILLED-BRONZE,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/wing_root/WING_HINGE_AXIAL_SPACER.SLDPRT,821B9484AB4B7B11A59A0136EDD4C537D37C317AC45830A5C1252ECD0A31577D,DEFAULT,CAD_VOLUME_DENSITY_V4,0.864076,COMPETITION_PROTOTYPE_MANUFACTURING_CANDIDATE,LOOP1_NATIVE_IMPORT_PASS,NATIVE_MASS_MEASUREMENT_PENDING
6,WING_HARNESS_GROMMET,SEI-V5-WING_HARNESS_GROMMET,V5-A,1,VMQ-60A,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/wing_root/WING_HARNESS_GROMMET.SLDPRT,300A486B9E620A4301E9402577736BF0D71002C3F86499C6285E51A23AEAE4A4,DEFAULT,CAD_VOLUME_DENSITY_V4,0.824668,COMPETITION_PROTOTYPE_MANUFACTURING_CANDIDATE,LOOP1_NATIVE_IMPORT_PASS,NATIVE_MASS_MEASUREMENT_PENDING
7,WING_MECHANICAL_STOP_PAD,SEI-V5-WING_MECHANICAL_STOP_PAD,V5-A,1,AL6061-T6,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/wing_root/WING_MECHANICAL_STOP_PAD.SLDPRT,F968A76B57987450814A02B260E654EA98E7E170449CD83DEAF7E7DDAEE2B445,DEFAULT,CAD_VOLUME_DENSITY_V4,0.9072,COMPETITION_PROTOTYPE_MANUFACTURING_CANDIDATE,LOOP1_NATIVE_IMPORT_PASS,NATIVE_MASS_MEASUREMENT_PENDING
8,G07_PRIMARY_SUPPORT_V2,SEI-V5-G07_PRIMARY_SUPPORT_V2,V5-A,1,AL7075-T6,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/supports/G07_PRIMARY_SUPPORT_V2.SLDPRT,BBD45CCFA724453ABE1AC92E30F59545B454D24D6462671EB655D5753D2FD964,DEFAULT,CAD_VOLUME_DENSITY_V4,169.244727,COMPETITION_PROTOTYPE_MANUFACTURING_CANDIDATE,LOOP1_NATIVE_IMPORT_PASS,NATIVE_MASS_MEASUREMENT_PENDING
9,G07_PAD_CARRIER_V2,SEI-V5-G07_PAD_CARRIER_V2,V5-A,1,PTFE-25GF,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/supports/G07_PAD_CARRIER_V2.SLDPRT,EF9DE629FCD9DB0148CC21AECC365E75761C6350DA8DBC46C3220EBB9A0BB4E2,DEFAULT,CAD_VOLUME_DENSITY_V4,16.5,COMPETITION_PROTOTYPE_MANUFACTURING_CANDIDATE,LOOP1_NATIVE_IMPORT_PASS,NATIVE_MASS_MEASUREMENT_PENDING
10,G07_PTFE_CONTACT_PAD_V2,SEI-V5-G07_PTFE_CONTACT_PAD_V2,V5-A,1,PTFE-25GF,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/supports/G07_PTFE_CONTACT_PAD_V2.SLDPRT,F8C70F2EF3753CE609A12061C75B069D3C487E90D51E5593752DB5C4078BD83C,DEFAULT,CAD_VOLUME_DENSITY_V4,16.5,COMPETITION_PROTOTYPE_MANUFACTURING_CANDIDATE,LOOP1_NATIVE_IMPORT_PASS,NATIVE_MASS_MEASUREMENT_PENDING
11,G08_PRIMARY_SUPPORT_V2,SEI-V5-G08_PRIMARY_SUPPORT_V2,V5-A,1,AL7075-T6,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/supports/G08_PRIMARY_SUPPORT_V2.SLDPRT,C52244E9B262E8C8C448AE1DCEFF1A3F9A2FC6AC16253BF8DF844B59AB56E8E8,DEFAULT,CAD_VOLUME_DENSITY_V4,97.826,COMPETITION_PROTOTYPE_MANUFACTURING_CANDIDATE,LOOP1_NATIVE_IMPORT_PASS,NATIVE_MASS_MEASUREMENT_PENDING
12,G08_PAD_CARRIER_V2,SEI-V5-G08_PAD_CARRIER_V2,V5-A,1,VMQ-60A,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/supports/G08_PAD_CARRIER_V2.SLDPRT,79831ABACEEAE25B796C2D886E818801DDC259DB7EF459D69C2FAE1BA24A47E1,DEFAULT,CAD_VOLUME_DENSITY_V4,2.25,COMPETITION_PROTOTYPE_MANUFACTURING_CANDIDATE,LOOP1_NATIVE_IMPORT_PASS,NATIVE_MASS_MEASUREMENT_PENDING
13,G08_VMQ_CONTACT_PAD_V2,SEI-V5-G08_VMQ_CONTACT_PAD_V2,V5-A,1,VMQ-60A,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/supports/G08_VMQ_CONTACT_PAD_V2.SLDPRT,37D847B73F2D748E1905AB8C482052C0ED3986D4C4644D8BC188F42E5825D821,DEFAULT,CAD_VOLUME_DENSITY_V4,2.25,COMPETITION_PROTOTYPE_MANUFACTURING_CANDIDATE,LOOP1_NATIVE_IMPORT_PASS,NATIVE_MASS_MEASUREMENT_PENDING
14,MID_BACKUP_SUPPORT_V2,SEI-V5-MID_BACKUP_SUPPORT_V2,V5-A,1,AL7075-T6,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/supports/MID_BACKUP_SUPPORT_V2.SLDPRT,5CE735DC17CEB0EC89C83FA5760AB095DDC33C18455A5D1F24E298A6081E9A57,DEFAULT,CAD_VOLUME_DENSITY_V4,100.988186,COMPETITION_PROTOTYPE_MANUFACTURING_CANDIDATE,LOOP1_NATIVE_IMPORT_PASS,NATIVE_MASS_MEASUREMENT_PENDING
15,MID_PAD_CARRIER_V2,SEI-V5-MID_PAD_CARRIER_V2,V5-A,1,VESPEL-SP1,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/supports/MID_PAD_CARRIER_V2.SLDPRT,DB7FD70A606E305932FC1682E2BFE85F8C47F1F34AC1C46C6B572B74E98ED277,DEFAULT,CAD_VOLUME_DENSITY_V4,3.861,COMPETITION_PROTOTYPE_MANUFACTURING_CANDIDATE,LOOP1_NATIVE_IMPORT_PASS,NATIVE_MASS_MEASUREMENT_PENDING
16,MID_CONTACT_PAD_V2,SEI-V5-MID_CONTACT_PAD_V2,V5-A,1,VESPEL-SP1,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/supports/MID_CONTACT_PAD_V2.SLDPRT,71F360AF7ACE2A8B27DB8CA34026FE46C9C9661AA079D2DCB841BD2A75B9B213,DEFAULT,CAD_VOLUME_DENSITY_V4,3.861,COMPETITION_PROTOTYPE_MANUFACTURING_CANDIDATE,LOOP1_NATIVE_IMPORT_PASS,NATIVE_MASS_MEASUREMENT_PENDING
