id,source_method,module_solid,structure_solid,legacy_aabb_overlap_mm3,b51_proposed_class,design_action,exact_common_volume_mm3,minimum_distance_mm,local_screenshot,replacement_part,closure_status
V14-01,LEGACY_AABB_COARSE_OVER_1000_MM3_NOT_EXACT_BREP,ADP_SPREADER,STRUCT_FRAME_FRONT_NZ,4034.0,UNACCEPTABLE_COLLISION,Remove legacy full-area spreader; replace with short pedestal and two datum-driven crossmembers.,,,,,OPEN_REDESIGN_AND_EXACT_BREP_RECHECK_REQUIRED
V14-02,LEGACY_AABB_COARSE_OVER_1000_MM3_NOT_EXACT_BREP,ADP_SPREADER,STRUCT_FRAME_FRONT_NY,4034.0,UNACCEPTABLE_COLLISION,Remove legacy full-area spreader; replace with short pedestal and two datum-driven crossmembers.,,,,,OPEN_REDESIGN_AND_EXACT_BREP_RECHECK_REQUIRED
V14-03,LEGACY_AABB_COARSE_OVER_1000_MM3_NOT_EXACT_BREP,ADP_SPREADER,STRUCT_FRAME_FRONT_PZ,4034.0,UNACCEPTABLE_COLLISION,Remove legacy full-area spreader; replace with short pedestal and two datum-driven crossmembers.,,,,,OPEN_REDESIGN_AND_EXACT_BREP_RECHECK_REQUIRED
V14-04,LEGACY_AABB_COARSE_OVER_1000_MM3_NOT_EXACT_BREP,ADP_SPREADER,STRUCT_FRAME_FRONT_PY,4034.0,UNACCEPTABLE_COLLISION,Remove legacy full-area spreader; replace with short pedestal and two datum-driven crossmembers.,,,,,OPEN_REDESIGN_AND_EXACT_BREP_RECHECK_REQUIRED
V14-05,LEGACY_AABB_COARSE_OVER_1000_MM3_NOT_EXACT_BREP,ADP_LOAD_BRIDGE_PU,STRUCT_FRAME_FRONT_PZ,1017.3,INTENDED_BOLTED_LAP,Replace undefined overlap with a discrete interface shoe and flush mating datum; hole/fastener selection remains TBD.,,,,,OPEN_REDESIGN_AND_EXACT_BREP_RECHECK_REQUIRED
V14-06,LEGACY_AABB_COARSE_OVER_1000_MM3_NOT_EXACT_BREP,ADP_LOAD_BRIDGE_PU,STRUCT_FRAME_FRONT_PY,2474.8,INTENDED_BOLTED_LAP,Replace undefined overlap with a discrete interface shoe and flush mating datum; hole/fastener selection remains TBD.,,,,,OPEN_REDESIGN_AND_EXACT_BREP_RECHECK_REQUIRED
V14-07,LEGACY_AABB_COARSE_OVER_1000_MM3_NOT_EXACT_BREP,ADP_LOAD_BRIDGE_PU,STRUCT_LONGERON_PY_PZ,3154.1,INTENDED_BOLTED_LAP,Replace undefined overlap with a discrete interface shoe and flush mating datum; hole/fastener selection remains TBD.,,,,,OPEN_REDESIGN_AND_EXACT_BREP_RECHECK_REQUIRED
V14-08,LEGACY_AABB_COARSE_OVER_1000_MM3_NOT_EXACT_BREP,ADP_LOAD_BRIDGE_PD,STRUCT_FRAME_FRONT_NZ,1017.3,INTENDED_BOLTED_LAP,Replace undefined overlap with a discrete interface shoe and flush mating datum; hole/fastener selection remains TBD.,,,,,OPEN_REDESIGN_AND_EXACT_BREP_RECHECK_REQUIRED
V14-09,LEGACY_AABB_COARSE_OVER_1000_MM3_NOT_EXACT_BREP,ADP_LOAD_BRIDGE_PD,STRUCT_FRAME_FRONT_PY,2474.8,INTENDED_BOLTED_LAP,Replace undefined overlap with a discrete interface shoe and flush mating datum; hole/fastener selection remains TBD.,,,,,OPEN_REDESIGN_AND_EXACT_BREP_RECHECK_REQUIRED
V14-10,LEGACY_AABB_COARSE_OVER_1000_MM3_NOT_EXACT_BREP,ADP_LOAD_BRIDGE_PD,STRUCT_LONGERON_PY_NZ_CASSETTE_POCKET_REVISED,3154.1,INTENDED_BOLTED_LAP,Replace undefined overlap with a discrete interface shoe and flush mating datum; hole/fastener selection remains TBD.,,,,,OPEN_REDESIGN_AND_EXACT_BREP_RECHECK_REQUIRED
